Carrier Name,Shipment_Count,Avg_Raw_Cost,Avg_Norm_Cost,Median_Norm_Cost,Std_Norm_Cost,P90_Norm_Cost,Total_Spend,%_Difference
Delhivery,13,3.1346153846153846,2.5,0.0,4.759858191164943,11.0,40.75,-20.245398773006134
Ekart Logistics,13,2.2115384615384617,0.8846153846153846,0.0,3.1895261282950673,0.0,28.75,-60.00000000000001
DHL,11,2.25,1.0909090909090908,0.0,3.6181361349331636,0.0,24.75,-51.515151515151516
DTDC,14,1.6607142857142858,0.6785714285714286,0.0,2.538981798168032,0.0,23.25,-59.13978494623656
Blue Dart,11,1.6590909090909092,0.0,0.0,0.0,0.0,18.25,-100.0
FedEx,12,1.3958333333333333,1.3958333333333333,0.0,3.2708393649818928,6.975000000000003,16.75,0.0
Ecom Express,11,1.3863636363636365,0.0,0.0,0.0,0.0,15.25,-100.0
Gati,12,1.2708333333333333,0.5208333333333334,0.0,1.8042195912175805,0.0,15.25,-59.01639344262295
Safe Express,9,0.0,0.0,0.0,0.0,0.0,0.0,
